satisfaction,important_recognitionAchievements,satisfied_careerAdvance,satisfied_recognitionAchievements,age,gender,ethnicity,country
4,Extremely important,4,5,51-60 years,Male,Asian,India
4,Extremely important,4,2,51-60 years,Female,White,United Kingdom
5,Extremely important,5,5,41-50 years,Male,Asian,United States
1,Extremely important,1,2,41-50 years,Female,White,United Kingdom
5,Extremely important,4,4,22-25 years,Male,White,United Kingdom
2,Extremely important,1,1,41-50 years,Female,Hispanic / Latino,United States
2,Extremely important,2,1,31-40 years,Male,Black / African American / Caribbean,Nigeria
2,Extremely important,2,1,26-30 years,Male,Asian,United States
2,Extremely important,1,1,31-40 years,Female,Asian,Canada
3,Extremely important,2,4,31-40 years,Female,White,United States
1,Extremely important,1,1,41-50 years,Male,White,Greece
4,Extremely important,2,1,31-40 years,Female,Hispanic / Latino,Czech Republic
2,Extremely important,5,5,31-40 years,Male,Asian,Germany
4,Extremely important,4,4,26-30 years,Female,White,Germany
2,Extremely important,1,1,31-40 years,Female,White,United Kingdom
5,Extremely important,4,5,41-50 years,Male,White,Brazil
2,Extremely important,4,2,26-30 years,Male,Black / African American / Caribbean,Uganda
5,Extremely important,4,2,31-40 years,Male,Mixed ethnicity,United States
2,Extremely important,1,2,41-50 years,Male,White,United States
2,Extremely important,4,1,31-40 years,Female,White,United States
5,Extremely important,5,5,41-50 years,Female,White,United States
5,Extremely important,4,5,51-60 years,Male,White,United States
4,Extremely important,1,1,51-60 years,Male,White,Austria
4,Extremely important,4,4,61-70 years,Male,Hispanic / Latino,Mexico
4,Extremely important,2,2,41-50 years,Male,I prefer to self-describe,Canada
2,Extremely important,1,2,61-70 years,Male,White,France
4,Extremely important,2,2,51-60 years,Female,White,United States
2,Extremely important,1,2,41-50 years,Male,Hispanic / Latino,Brazil
4,Extremely important,4,2,61-70 years,Female,White,Argentina
4,Extremely important,2,5,41-50 years,Female,White,South Africa
2,Extremely important,1,1,41-50 years,Female,White,United States
4,Extremely important,4,2,41-50 years,Female,Hispanic / Latino,Colombia
4,Extremely important,2,4,31-40 years,Female,White,Brazil
1,Extremely important,1,1,31-40 years,Female,White,Canada
5,Extremely important,5,5,41-50 years,Male,White,Germany
5,Extremely important,5,5,41-50 years,Female,White,Brazil
2,Extremely important,1,2,31-40 years,Female,White,Portugal
1,Extremely important,2,2,41-50 years,Female,White,United Kingdom
5,Extremely important,4,4,41-50 years,Female,White,United States
2,Extremely important,1,1,61-70 years,Male,White,United States
1,Extremely important,1,1,41-50 years,Male,Hispanic / Latino,Mexico
4,Extremely important,2,1,31-40 years,Female,White,Serbia
5,Extremely important,2,4,41-50 years,Male,White,Germany
4,Extremely important,4,5,41-50 years,Male,White,Germany
1,Extremely important,1,1,51-60 years,Female,White,Germany
1,Extremely important,1,2,31-40 years,Male,Hispanic / Latino,United States
5,Extremely important,4,4,31-40 years,Male,Hispanic / Latino,Uruguay
5,Extremely important,4,5,26-30 years,Female,White,United States
2,Extremely important,2,2,41-50 years,Female,White,Italy
2,Extremely important,2,2,41-50 years,Male,Hispanic / Latino,Spain
2,Extremely important,2,2,61-70 years,Male,White,United Kingdom
4,Extremely important,2,4,51-60 years,Male,White,France
4,Extremely important,4,2,51-60 years,Male,Hispanic / Latino,United Kingdom
2,Extremely important,1,5,51-60 years,Female,White,Portugal
5,Extremely important,4,5,51-60 years,Male,Asian,"China, Republic of"
4,Extremely important,4,2,41-50 years,Female,Hispanic / Latino,Argentina
2,Extremely important,1,4,31-40 years,Female,White,United States
1,Extremely important,1,1,31-40 years,Female,Asian,Japan
2,Extremely important,2,2,41-50 years,Male,Asian,United States
4,Extremely important,4,5,31-40 years,Female,Asian,India
1,Extremely important,2,2,26-30 years,Female,Asian,Singapore
5,Extremely important,4,4,61-70 years,Male,White,New Zealand
4,Extremely important,1,4,26-30 years,Male,Asian,India
5,Extremely important,4,5,26-30 years,Male,Asian,United States
4,Extremely important,4,5,51-60 years,Male,White,Belgium
3,Extremely important,2,2,22-25 years,Male,White,France
4,Extremely important,5,4,31-40 years,Female,White,Germany
5,Extremely important,4,4,41-50 years,Female,White,Germany
5,Extremely important,5,4,31-40 years,Female,White,Germany
3,Extremely important,2,2,61-70 years,Female,White,France
5,Extremely important,4,4,26-30 years,Female,White,Italy
4,Extremely important,1,2,31-40 years,Male,White,Switzerland
2,Extremely important,2,2,31-40 years,Male,Hispanic / Latino,Finland
5,Extremely important,5,5,51-60 years,Male,Asian,India
3,Extremely important,1,1,31-40 years,Female,Mixed ethnicity,Germany
2,Extremely important,2,1,31-40 years,Female,White,Portugal
5,Extremely important,4,5,26-30 years,Female,White,Lithuania
4,Extremely important,2,1,31-40 years,Male,White,Germany
3,Extremely important,1,1,51-60 years,Female,White,Italy
5,Extremely important,4,4,41-50 years,Male,White,Spain
4,Extremely important,2,4,31-40 years,Female,White,United Kingdom
1,Extremely important,5,1,51-60 years,Female,White,France
4,Extremely important,5,5,51-60 years,Male,White,Sweden
4,Extremely important,4,5,22-25 years,Female,White,Germany
1,Extremely important,1,1,51-60 years,Female,White,Spain
5,Extremely important,4,4,41-50 years,Female,White,Israel
1,Extremely important,1,1,41-50 years,Female,White,Spain
5,Extremely important,4,5,I’d prefer not to say,I’d prefer not to say,I’d prefer not to say,United Kingdom
4,Extremely important,5,4,31-40 years,Male,I prefer to self-describe,Uganda
1,Extremely important,4,2,41-50 years,Female,White,United Kingdom
4,Extremely important,1,2,31-40 years,Female,Asian,Brazil
4,Extremely important,4,4,31-40 years,Female,Mixed ethnicity,Spain
3,Extremely important,1,1,41-50 years,Male,Asian,India
2,Extremely important,1,2,31-40 years,Female,White,Italy
4,Extremely important,4,4,31-40 years,Male,White,Netherlands
4,Extremely important,1,4,71-80 years,Male,Hispanic / Latino,Colombia
2,Extremely important,1,2,41-50 years,Female,Hispanic / Latino,Spain
5,Extremely important,4,4,22-25 years,Female,White,United Kingdom
5,Extremely important,2,5,26-30 years,Female,White,Spain
2,Extremely important,4,4,31-40 years,Male,Mixed ethnicity,Spain
5,Extremely important,4,2,26-30 years,Male,White,Spain
1,Extremely important,1,1,51-60 years,Female,Mixed ethnicity,Brazil
5,Extremely important,4,5,61-70 years,Female,Asian,Sri Lanka
1,Extremely important,1,1,22-25 years,Female,White,United States
5,Extremely important,4,1,41-50 years,Female,White,Spain
4,Extremely important,4,2,31-40 years,Female,Mixed ethnicity,Spain
2,Extremely important,2,2,31-40 years,Male,Asian,India
1,Extremely important,2,2,41-50 years,Female,White,Spain
5,Extremely important,5,5,31-40 years,Female,White,United States
5,Extremely important,5,5,41-50 years,Female,White,Brazil
5,Extremely important,4,4,41-50 years,Male,Hispanic / Latino,United States
2,Extremely important,2,2,41-50 years,Female,Asian,United States
4,Extremely important,1,1,41-50 years,Male,Hispanic / Latino,Spain
4,Extremely important,2,4,41-50 years,Female,White,Spain
5,Extremely important,5,5,41-50 years,Female,White,United Kingdom
4,Extremely important,2,4,41-50 years,Male,White,France
2,Extremely important,4,5,31-40 years,Female,White,Germany
2,Extremely important,2,1,31-40 years,Male,White,Canada
2,Extremely important,1,2,31-40 years,Male,I’d prefer not to say,Germany
1,Extremely important,1,1,41-50 years,Female,I’d prefer not to say,United States
4,Extremely important,4,5,26-30 years,Male,Asian,France
2,Extremely important,1,4,51-60 years,Male,Hispanic / Latino,Mexico
5,Extremely important,5,5,31-40 years,Male,White,Germany
5,Extremely important,4,4,51-60 years,Male,Asian,Thailand
4,Extremely important,2,2,31-40 years,Female,White,United Kingdom
4,Extremely important,5,4,51-60 years,Female,Hispanic / Latino,Brazil
2,Extremely important,2,1,41-50 years,Female,I prefer to self-describe,United Kingdom
1,Extremely important,2,1,I’d prefer not to say,I’d prefer not to say,I’d prefer not to say,United States
1,Extremely important,2,5,61-70 years,Female,Asian,United States
4,Extremely important,4,4,31-40 years,Male,Asian,United States
4,Extremely important,5,5,31-40 years,Male,Asian,Pakistan
2,Extremely important,1,1,61-70 years,Female,Asian,United States
4,Extremely important,2,4,51-60 years,Female,White,Croatia
1,Extremely important,1,2,31-40 years,Male,White,Italy
5,Extremely important,4,5,31-40 years,Male,Hispanic / Latino,United States
5,Extremely important,1,5,31-40 years,Female,White,Belgium
5,Extremely important,4,4,31-40 years,Male,White,Poland
4,Extremely important,1,2,31-40 years,Male,White,Brazil
5,Extremely important,5,5,31-40 years,Female,White,United States
5,Extremely important,5,5,31-40 years,Female,Asian,New Zealand
5,Extremely important,5,5,22-25 years,Male,Hispanic / Latino,Canada
1,Extremely important,2,2,31-40 years,Female,Asian,United States
5,Extremely important,4,5,41-50 years,Female,White,Switzerland
4,Extremely important,5,4,31-40 years,Female,Asian,United States
4,Extremely important,4,5,31-40 years,Female,White,Brazil
5,Extremely important,4,4,26-30 years,Female,White,Australia
2,Extremely important,1,1,41-50 years,Female,White,Brazil
5,Extremely important,4,4,31-40 years,Male,Asian,Singapore
4,Extremely important,5,5,31-40 years,Male,White,Brazil
5,Extremely important,4,5,31-40 years,Female,White,Denmark
1,Extremely important,1,1,51-60 years,Male,White,Switzerland
4,Extremely important,4,5,41-50 years,Female,White,United Kingdom
5,Extremely important,5,5,51-60 years,Male,Asian,Pakistan
3,Extremely important,4,4,26-30 years,Female,Asian,United Kingdom
5,Extremely important,4,5,41-50 years,Female,White,United States
4,Extremely important,4,4,31-40 years,Male,White,France
4,Extremely important,2,4,31-40 years,Female,White,Canada
4,Extremely important,1,2,41-50 years,Male,Hispanic / Latino,Mexico
4,Extremely important,2,5,31-40 years,Female,Asian,Malaysia
3,Extremely important,4,5,22-25 years,Female,Asian,India
2,Extremely important,2,2,41-50 years,Female,White,Germany
5,Extremely important,4,4,26-30 years,Female,White,United Kingdom
3,Extremely important,2,4,31-40 years,Male,Asian,India
2,Extremely important,2,2,31-40 years,Male,Asian,United States
4,Extremely important,2,4,31-40 years,Female,Hispanic / Latino,United States
5,Extremely important,1,5,51-60 years,Male,Asian,India
2,Extremely important,1,2,51-60 years,Male,I prefer to self-describe,United States
1,Extremely important,1,1,41-50 years,Male,Asian,Norway
1,Extremely important,1,4,41-50 years,Male,White,United Kingdom
5,Extremely important,4,4,26-30 years,Female,White,United Kingdom
2,Extremely important,2,2,26-30 years,Non-binary,White,France
2,Extremely important,4,1,26-30 years,Female,Asian,"China, Republic of"
2,Extremely important,4,4,22-25 years,Female,Asian,"China, Republic of"
3,Extremely important,4,2,31-40 years,Female,White,Norway
4,Extremely important,4,4,22-25 years,Male,Asian,"China, Republic of"
5,Extremely important,4,5,31-40 years,Male,Asian,"China, Republic of"
3,Extremely important,4,5,22-25 years,Male,Asian,Christmas Island
2,Extremely important,2,1,51-60 years,Female,White,United Kingdom
5,Extremely important,5,5,31-40 years,Male,Hispanic / Latino,United States
1,Extremely important,5,5,61-70 years,Male,White,United States
4,Extremely important,4,4,51-60 years,Male,White,Canada
1,Extremely important,1,1,31-40 years,Female,White,United Kingdom
1,Extremely important,1,1,41-50 years,Female,White,Netherlands
1,Extremely important,1,2,41-50 years,Female,Asian,India
4,Extremely important,2,2,61-70 years,Female,White,United States
3,Extremely important,2,2,41-50 years,Female,Asian,United States
2,Extremely important,1,2,41-50 years,Female,White,United Kingdom
5,Extremely important,5,5,41-50 years,Female,White,Canada
2,Extremely important,5,4,61-70 years,Female,I’d prefer not to say,Argentina
2,Extremely important,2,2,71-80 years,Female,White,Hungary
5,Extremely important,5,5,26-30 years,Male,White,United States
2,Extremely important,1,2,26-30 years,Female,White,United States
5,Extremely important,5,5,31-40 years,Female,White,United States
4,Extremely important,4,5,22-25 years,Female,Asian,United States
4,Extremely important,4,2,31-40 years,Male,Asian,Brazil
4,Extremely important,2,2,41-50 years,Female,White,Switzerland
5,Extremely important,4,4,26-30 years,Male,White,Belgium
1,Extremely important,1,1,41-50 years,Male,White,Uruguay
2,Extremely important,2,4,41-50 years,Female,White,Brazil
2,Extremely important,1,1,31-40 years,Male,Hispanic / Latino,Spain
5,Extremely important,4,4,31-40 years,Male,Asian,United States
2,Extremely important,1,1,31-40 years,Female,Hispanic / Latino,United States
4,Extremely important,2,4,31-40 years,Female,White,United States
5,Extremely important,4,5,41-50 years,Female,White,Brazil
2,Extremely important,2,2,31-40 years,Female,Asian,United States
5,Extremely important,5,5,31-40 years,Male,Asian,United States
4,Extremely important,4,4,41-50 years,Male,Hispanic / Latino,Mexico
4,Extremely important,5,5,51-60 years,Female,Hispanic / Latino,United States
2,Extremely important,2,1,41-50 years,Female,White,United States
1,Extremely important,1,1,41-50 years,Female,White,United States
2,Extremely important,1,2,31-40 years,Female,White,United States
4,Extremely important,5,4,41-50 years,Female,White,United Kingdom
4,Extremely important,2,2,26-30 years,Male,White,United States
5,Extremely important,4,4,41-50 years,Female,White,United States
2,Extremely important,1,1,61-70 years,Female,Asian,United Kingdom
5,Extremely important,4,4,71-80 years,Male,White,Netherlands
2,Extremely important,1,1,I’d prefer not to say,Female,I’d prefer not to say,United States
4,Extremely important,2,2,41-50 years,Female,White,Argentina
4,Extremely important,5,2,51-60 years,Female,Pacific islander,Belgium
4,Extremely important,4,5,41-50 years,Female,Hispanic / Latino,Brazil
1,Extremely important,2,2,31-40 years,Male,White,Australia
3,Extremely important,1,1,51-60 years,Male,White,United Kingdom
4,Extremely important,4,5,31-40 years,Female,White,United States
5,Extremely important,2,4,61-70 years,Female,White,United States
4,Extremely important,1,4,51-60 years,Male,Asian,Taiwan
2,Extremely important,2,1,31-40 years,Female,Hispanic / Latino,Brazil
2,Extremely important,1,1,31-40 years,Female,White,Brazil
2,Extremely important,1,1,22-25 years,Male,Asian,"China, Republic of"
4,Extremely important,1,2,31-40 years,Female,Asian,Australia
5,Extremely important,4,5,31-40 years,Male,Mixed ethnicity,"China, Republic of"
2,Extremely important,2,1,31-40 years,Female,Asian,"China, Republic of"
2,Extremely important,2,1,26-30 years,Male,Asian,"China, Republic of"
4,Extremely important,1,2,31-40 years,Male,Asian,Singapore
5,Extremely important,1,5,51-60 years,Male,Asian,India
1,Extremely important,1,1,26-30 years,Male,Asian,"China, Republic of"
4,Extremely important,4,4,22-25 years,Male,Asian,Hong Kong
5,Extremely important,5,5,22-25 years,Female,Asian,Singapore
5,Extremely important,2,5,31-40 years,Female,Asian,"China, Republic of"
3,Extremely important,2,4,26-30 years,Male,Asian,"China, Republic of"
4,Extremely important,4,5,31-40 years,Male,Asian,"China, Republic of"
2,Extremely important,2,2,31-40 years,Female,Asian,"China, Republic of"
2,Extremely important,5,4,18-21 years,Female,Asian,"China, Republic of"
1,Extremely important,1,1,41-50 years,Female,White,Germany
1,Extremely important,4,1,26-30 years,Female,White,Germany
2,Extremely important,2,2,41-50 years,Male,I’d prefer not to say,United Kingdom
2,Extremely important,2,4,31-40 years,Male,Asian,"China, Republic of"
2,Extremely important,1,1,51-60 years,Female,White,Italy
2,Extremely important,2,1,51-60 years,Male,White,Switzerland
2,Extremely important,2,4,31-40 years,Female,Asian,United Kingdom
2,Extremely important,1,2,26-30 years,Male,Asian,"China, Republic of"
4,Extremely important,4,4,26-30 years,Male,Asian,Israel
2,Extremely important,2,4,41-50 years,Female,White,Croatia
2,Extremely important,1,4,31-40 years,Female,White,Italy
2,Extremely important,4,4,31-40 years,Female,White,Germany
5,Extremely important,4,4,51-60 years,Female,White,Italy
4,Extremely important,1,4,41-50 years,Female,Mixed ethnicity,Brazil
2,Extremely important,1,2,31-40 years,Female,Asian,United Kingdom
4,Extremely important,2,2,31-40 years,Female,White,United Kingdom
1,Extremely important,1,1,41-50 years,Male,White,Italy
4,Extremely important,4,4,31-40 years,Female,White,United Kingdom
4,Extremely important,2,4,31-40 years,Female,White,Spain
2,Extremely important,2,1,61-70 years,Male,White,Italy
2,Extremely important,2,2,26-30 years,Male,Asian,Germany
4,Extremely important,4,4,51-60 years,Female,White,Italy
4,Extremely important,4,4,26-30 years,Male,Asian,"China, Republic of"
2,Extremely important,4,2,51-60 years,Female,White,Brazil
1,Extremely important,1,2,61-70 years,Female,White,Brazil
4,Extremely important,2,4,31-40 years,Female,Black / African American / Caribbean,United Kingdom
1,Extremely important,4,1,41-50 years,Female,I’d prefer not to say,Brazil
2,Extremely important,1,2,31-40 years,Female,White,Spain
3,Extremely important,2,2,31-40 years,Female,Black / African American / Caribbean,Kenya
4,Extremely important,4,5,31-40 years,Male,Asian,"China, Republic of"
2,Extremely important,2,2,26-30 years,Male,White,United Kingdom
4,Extremely important,4,5,31-40 years,Female,White,United Kingdom
4,Extremely important,4,4,26-30 years,Male,Asian,"China, Republic of"
5,Extremely important,2,5,31-40 years,Female,White,United States
2,Extremely important,1,2,31-40 years,Female,White,United Kingdom
1,Extremely important,1,4,26-30 years,Female,White,United Kingdom
4,Extremely important,4,5,26-30 years,Male,Black / African American / Caribbean,Nigeria
1,Extremely important,1,1,31-40 years,Male,White,United States
1,Extremely important,1,1,51-60 years,Female,White,Brazil
4,Extremely important,1,4,41-50 years,Male,White,United States
5,Extremely important,4,4,31-40 years,Non-binary,White,United States
4,Extremely important,4,5,22-25 years,Female,White,United Kingdom
2,Extremely important,2,2,26-30 years,Male,Asian,"China, Republic of"
5,Extremely important,2,5,31-40 years,Female,White,Germany
2,Extremely important,2,1,31-40 years,Female,White,United States
1,Extremely important,2,5,41-50 years,Female,White,Argentina
1,Extremely important,2,1,41-50 years,Female,White,United States
1,Extremely important,1,1,41-50 years,Male,White,Argentina
2,Extremely important,2,2,31-40 years,Female,White,United States
5,Extremely important,5,5,26-30 years,Female,White,France
2,Extremely important,1,2,51-60 years,Male,Hispanic / Latino,Argentina
3,Extremely important,1,2,41-50 years,Male,Asian,Spain
5,Extremely important,5,4,31-40 years,Female,Hispanic / Latino,Argentina
5,Extremely important,2,4,41-50 years,Male,Hispanic / Latino,Chile
1,Extremely important,1,1,41-50 years,Male,White,Germany
5,Extremely important,4,5,26-30 years,Male,White,United Kingdom
4,Extremely important,2,4,26-30 years,Female,White,France
4,Extremely important,1,2,51-60 years,Female,White,Italy
4,Extremely important,4,4,31-40 years,Female,White,United States
4,Extremely important,4,4,41-50 years,Female,Asian,India
5,Extremely important,5,5,26-30 years,Female,White,Canada
1,Extremely important,1,1,51-60 years,Male,Hispanic / Latino,United States
4,Extremely important,4,5,31-40 years,Male,Hispanic / Latino,Ecuador
4,Extremely important,1,2,41-50 years,Female,White,Australia
2,Extremely important,2,2,26-30 years,Female,White,United States
2,Extremely important,1,4,31-40 years,Female,Hispanic / Latino,United States
4,Extremely important,2,4,26-30 years,Male,Asian,United States
4,Extremely important,4,4,31-40 years,Male,White,United States
5,Extremely important,2,4,26-30 years,Male,White,Belgium
2,Extremely important,5,2,31-40 years,Female,White,Sweden
2,Extremely important,2,4,31-40 years,Male,White,Hungary
1,Extremely important,1,1,51-60 years,Male,White,United States
4,Extremely important,2,2,61-70 years,Female,White,United States
1,Extremely important,1,1,41-50 years,Male,Asian,United States
3,Extremely important,4,1,31-40 years,Male,White,United States
3,Extremely important,1,4,31-40 years,Male,White,Germany
4,Extremely important,4,4,31-40 years,Male,White,United States
2,Extremely important,1,2,31-40 years,Female,White,United States
1,Extremely important,1,1,31-40 years,Female,Hispanic / Latino,Canada
4,Extremely important,5,4,41-50 years,Male,White,United States
4,Extremely important,4,2,41-50 years,Female,White,United States
5,Extremely important,5,5,26-30 years,Male,White,United States
5,Extremely important,5,5,I’d prefer not to say,I’d prefer not to say,I’d prefer not to say,United States
2,Extremely important,1,2,51-60 years,Female,White,United States
5,Extremely important,4,5,31-40 years,Female,White,United States
2,Extremely important,1,1,31-40 years,Female,White,United States
1,Extremely important,1,1,41-50 years,Female,White,United States
4,Extremely important,4,4,41-50 years,Female,White,South Africa
4,Extremely important,4,5,31-40 years,Female,White,United States
2,Extremely important,1,1,41-50 years,Female,White,United States
1,Extremely important,1,1,41-50 years,Female,White,Hungary
4,Extremely important,2,4,31-40 years,Female,White,United States
2,Extremely important,1,1,31-40 years,Female,Hispanic / Latino,United Kingdom
3,Extremely important,2,4,31-40 years,Male,White,United States
5,Extremely important,2,4,61-70 years,Male,White,Portugal
1,Extremely important,1,1,41-50 years,Female,White,United States
5,Extremely important,4,5,31-40 years,Male,Asian,India
1,Extremely important,1,1,26-30 years,Male,I’d prefer not to say,United States
2,Extremely important,2,2,31-40 years,Female,Mixed ethnicity,United States
2,Extremely important,4,2,41-50 years,Female,Mixed ethnicity,United States
4,Extremely important,2,4,31-40 years,Female,Asian,India
2,Extremely important,1,1,41-50 years,Female,White,United States
2,Extremely important,2,2,41-50 years,Male,Asian,Italy
5,Extremely important,4,4,51-60 years,Female,I prefer to self-describe,Ecuador
5,Extremely important,5,5,31-40 years,Female,Asian,United States
1,Extremely important,1,1,51-60 years,Female,Asian,United States
2,Extremely important,2,1,31-40 years,Female,White,United States
4,Extremely important,4,1,26-30 years,Male,Asian,India
5,Extremely important,5,5,41-50 years,Male,Hispanic / Latino,United States
2,Extremely important,1,4,26-30 years,Female,White,Spain
4,Extremely important,4,4,31-40 years,Female,Asian,United States
5,Extremely important,1,5,31-40 years,Female,White,Brazil
3,Extremely important,4,4,41-50 years,Female,Asian,India
2,Extremely important,1,2,31-40 years,Male,Mixed ethnicity,United States
4,Extremely important,2,5,31-40 years,Female,Asian,United States
4,Extremely important,4,4,31-40 years,Female,White,Germany
2,Extremely important,2,2,61-70 years,Male,I prefer to self-describe,Argentina
3,Extremely important,1,1,31-40 years,Male,Hispanic / Latino,Netherlands
2,Extremely important,5,5,41-50 years,Female,White,Brazil
4,Extremely important,4,2,31-40 years,Female,I’d prefer not to say,United Kingdom
4,Extremely important,4,1,41-50 years,Female,White,South Africa
2,Extremely important,2,1,41-50 years,Male,Asian,Japan
1,Extremely important,1,1,41-50 years,Male,Asian,India
2,Extremely important,2,2,61-70 years,Female,Asian,United States
4,Extremely important,4,4,41-50 years,Male,White,Poland
2,Extremely important,1,2,41-50 years,Male,I’d prefer not to say,Brazil
2,Extremely important,2,2,I’d prefer not to say,Female,Hispanic / Latino,France
4,Extremely important,2,2,51-60 years,Female,White,United Kingdom
4,Extremely important,4,4,26-30 years,Female,Asian,United States
5,Extremely important,4,4,31-40 years,Female,White,United States
2,Extremely important,1,2,51-60 years,Female,White,Italy
1,Extremely important,1,1,61-70 years,Female,White,United States
4,Extremely important,2,2,51-60 years,Male,White,France
3,Extremely important,4,4,41-50 years,Male,Asian,India
1,Extremely important,2,1,I’d prefer not to say,I’d prefer not to say,I’d prefer not to say,Denmark
2,Extremely important,1,5,31-40 years,Female,Asian,India
5,Extremely important,5,5,51-60 years,Male,White,United Kingdom
4,Extremely important,4,4,31-40 years,Female,White,Netherlands
4,Extremely important,1,1,41-50 years,Female,White,Egypt
4,Extremely important,4,5,31-40 years,Female,White,Germany
2,Extremely important,1,1,41-50 years,Male,White,United States
2,Extremely important,2,2,51-60 years,Female,White,United States
4,Extremely important,2,5,51-60 years,Female,White,France
4,Extremely important,2,4,71-80 years,Male,White,United States
4,Extremely important,4,4,31-40 years,Male,White,Spain
4,Extremely important,4,4,31-40 years,Male,White,United States
1,Extremely important,2,1,31-40 years,Female,White,Switzerland
4,Extremely important,1,2,51-60 years,Female,White,New Zealand
5,Extremely important,4,4,51-60 years,Female,White,Spain
4,Extremely important,5,4,51-60 years,Female,White,Australia
2,Extremely important,4,4,31-40 years,Male,Asian,Singapore
2,Extremely important,1,4,31-40 years,Female,White,Italy
5,Extremely important,5,5,26-30 years,Male,White,New Zealand
4,Extremely important,1,1,31-40 years,Male,Asian,United States
2,Extremely important,2,2,31-40 years,Male,I prefer to self-describe,Australia
5,Extremely important,5,5,41-50 years,Male,White,Spain
4,Extremely important,1,4,31-40 years,Female,Asian,India
4,Extremely important,2,5,41-50 years,Male,White,Ukraine
5,Extremely important,4,4,51-60 years,Male,White,Germany
4,Extremely important,1,2,41-50 years,Female,White,United Kingdom
1,Extremely important,2,2,51-60 years,Female,Mixed ethnicity,United Kingdom
2,Extremely important,2,4,26-30 years,Male,Black / African American / Caribbean,Uganda
1,Extremely important,5,1,I’d prefer not to say,Female,White,United States
4,Extremely important,4,4,31-40 years,Female,White,United States
2,Extremely important,2,2,51-60 years,Female,I’d prefer not to say,United Kingdom
4,Extremely important,4,5,26-30 years,Male,Asian,"China, Republic of"
2,Extremely important,1,1,41-50 years,Female,White,United States
2,Extremely important,1,1,51-60 years,Female,White,Italy
4,Extremely important,2,4,31-40 years,Male,Asian,United States
2,Extremely important,2,2,51-60 years,Female,Hispanic / Latino,United States
4,Extremely important,4,4,41-50 years,Female,Asian,India
2,Extremely important,1,4,31-40 years,Female,White,Spain
4,Extremely important,1,4,31-40 years,Male,Hispanic / Latino,Australia
2,Extremely important,1,1,41-50 years,Female,White,United States
2,Extremely important,4,4,31-40 years,Female,Asian,United States
5,Extremely important,4,5,31-40 years,Female,Hispanic / Latino,United States
4,Extremely important,4,4,31-40 years,Female,I prefer to self-describe,Japan
4,Extremely important,5,4,26-30 years,Male,White,United States
2,Extremely important,1,2,31-40 years,Female,White,Italy
2,Extremely important,1,1,51-60 years,Female,I prefer to self-describe,Australia
3,Extremely important,5,5,61-70 years,Male,White,Australia
4,Extremely important,2,4,41-50 years,Female,White,United States
4,Extremely important,4,2,41-50 years,Female,White,Canada
5,Extremely important,2,5,51-60 years,Female,White,Portugal
2,Extremely important,1,4,41-50 years,Male,White,Spain
1,Extremely important,1,2,31-40 years,Female,White,United States
4,Extremely important,4,4,41-50 years,Female,Hispanic / Latino,Argentina
5,Extremely important,2,4,31-40 years,Female,Hispanic / Latino,Spain
4,Extremely important,4,4,51-60 years,Male,White,Canada
2,Extremely important,2,2,41-50 years,Female,Hispanic / Latino,United Kingdom
4,Extremely important,5,4,31-40 years,Female,Asian,United States
4,Extremely important,4,5,31-40 years,Male,White,United States
2,Extremely important,2,1,31-40 years,I’d prefer not to say,I’d prefer not to say,United States
4,Extremely important,4,2,31-40 years,Male,White,United States
2,Extremely important,2,2,41-50 years,Female,White,Germany
4,Extremely important,4,4,22-25 years,Non-binary,Asian,United States
4,Extremely important,4,5,31-40 years,Female,White,Romania
5,Extremely important,4,4,31-40 years,Female,Hispanic / Latino,United States
1,Extremely important,1,1,41-50 years,Female,White,United States
2,Extremely important,1,2,31-40 years,Female,White,United States
1,Extremely important,1,1,31-40 years,Male,White,Australia
2,Extremely important,2,2,41-50 years,Male,White,United States
5,Extremely important,2,4,51-60 years,Female,Hispanic / Latino,Spain
4,Extremely important,2,2,41-50 years,Female,White,United States
4,Extremely important,4,4,41-50 years,Male,White,United States
1,Extremely important,1,1,61-70 years,Male,White,Portugal
2,Extremely important,1,2,71-80 years,Female,Black / African American / Caribbean,United States
4,Extremely important,4,4,31-40 years,Female,Hispanic / Latino,United States
5,Extremely important,5,5,41-50 years,Female,White,United Kingdom
4,Extremely important,2,2,26-30 years,Female,Asian,Ireland
3,Extremely important,2,4,26-30 years,Male,Asian,"China, Republic of"
2,Extremely important,2,2,41-50 years,Female,White,Australia
4,Extremely important,5,5,31-40 years,Male,White,United States
2,Extremely important,2,4,26-30 years,Female,Asian,India
5,Extremely important,4,4,51-60 years,Female,White,Sweden
2,Extremely important,5,4,31-40 years,Male,Hispanic / Latino,Spain
1,Extremely important,1,2,41-50 years,Female,Asian,"China, Republic of"
2,Extremely important,1,4,31-40 years,Female,White,United States
5,Extremely important,2,1,31-40 years,Male,White,United States
4,Extremely important,1,4,41-50 years,Male,Hispanic / Latino,Australia
5,Extremely important,4,4,26-30 years,Female,White,Netherlands
4,Extremely important,4,5,31-40 years,Female,Mixed ethnicity,Spain
1,Extremely important,1,1,51-60 years,Female,White,Germany
3,Extremely important,1,1,41-50 years,Male,White,United States
4,Extremely important,2,4,31-40 years,Male,Asian,United States
1,Extremely important,1,1,51-60 years,Male,White,United States
5,Extremely important,5,5,51-60 years,Female,White,United States
